Hydrogen = position:0, number:1, small:H, molar:1.00794, electron:1
Iodine = position:88, number:53, small:I, molar:126.90447, electron:53
Xenon = position:89, number:54, small:Xe, molar:131.293, electron:54
Caesium = position:90, number:55, small:Cs, molar:132.9054, electron:55
Barium = position:91, number:56, small:Ba, molar:137.327, electron:56
Lutetium = position:92, number:71, small:Lu, molar:174.9668, electron:71
Hafnium = position:93, number:72, small:Hf, molar:178.49, electron:72
Tantalum = position:94, number:73, small:Ta, molar:180.94788, electron:73
Tungsten = position:95, number:74, small:W, molar:183.84, electron:74
Rhenium = position:96, number:75, small:Re, molar:186.207, electron:75
Osmium = position:97, number:76, small:Os, molar:190.23, electron:76
Iridium = position:98, number:77, small:Ir, molar:192.217, electron:77
Platinum = position:99, number:78, small:Pt, molar:195.084, electron:78
Gold = position:100, number:79, small:Au, molar:196.96657, electron:79
Mercury = position:101, number:80, small:Hg, molar:200.59, electron:80
Thallium = position:102, number:81, small:Tl, molar:204.3833, electron:81
Lead = position:103, number:82, small:Pb, molar:207.2, electron:82
Bismuth = position:104, number:83, small:Bi, molar:208.9804, electron:83
Polonium = position:105, number:84, small:Po, molar:210, electron:84
Astatine = position:106, number:85, small:At, molar:210, electron:85
Radon = position:107, number:86, small:Rn, molar:222, electron:86
Francium = position:108, number:87, small:Fr, molar:223, electron:87
Radium = position:109, number:88, small:Ra, molar:226, electron:88
Lawrencium = position:110, number:103, small:Lr, molar:262, electron:103
Rutherfordium = position:111, number:104, small:Rf, molar:267, electron:104
Dubnium = position:112, number:105, small:Db, molar:268, electron:105
Seaborgium = position:113, number:106, small:Sg, molar:271, electron:106
Bohrium = position:114, number:107, small:Bh, molar:272, electron:107
Hassium = position:115, number:108, small:Hs, molar:270, electron:108
Meitnerium = position:116, number:109, small:Mt, molar:276, electron:109
Darmstadtium = position:117, number:110, small:Ds, molar:281, electron:110
Roentgenium = position:118, number:111, small:Rg, molar:280, electron:111
Copernicium = position:119, number:112, small:Cn, molar:285, electron:112
Nihonium = position:120, number:113, small:Nh, molar:284, electron:113
Flerovium = position:121, number:114, small:Fl, molar:289, electron:114
Moscovium = position:122, number:115, small:Mc, molar:288, electron:115
Livermorium = position:123, number:116, small:Lv, molar:293, electron:116
Tennessine = position:124, number:117, small:Ts, molar:294, electron:117
Oganesson = position:125, number:118, small:Og, molar:294, electron:118
Lanthanum = position:128, number:57, small:La, molar:138.90547, electron:57
Cerium = position:129, number:58, small:Ce, molar:140.116, electron:58
Praseodymium = position:130, number:59, small:Pr, molar:140.90765, electron:59
Neodymium = position:131, number:60, small:Nd, molar:144.242, electron:60
Promethium = position:132, number:61, small:Pm, molar:145, electron:61
Samarium = position:133, number:62, small:Sm, molar:150.36, electron:62
Europium = position:134, number:63, small:Eu, molar:151.964, electron:63
Gadolinium = position:135, number:64, small:Gd, molar:157.25, electron:64
Terbium = position:136, number:65, small:Tb, molar:158.92535, electron:65
Dysprosium = position:137, number:66, small:Dy, molar:162.5, electron:66
Holmium = position:138, number:67, small:Ho, molar:164.93032, electron:67
Erbium = position:139, number:68, small:Er, molar:167.259, electron:68
Thulium = position:140, number:69, small:Tm, molar:168.93421, electron:69
Ytterbium = position:141, number:70, small:Yb, molar:173.054, electron:70
Actinium = position:146, number:89, small:Ac, molar:227, electron:89
Thorium = position:147, number:90, small:Th, molar:232.03806, electron:90
Protactinium = position:148, number:91, small:Pa, molar:231.03588, electron:91
Uranium = position:149, number:92, small:U, molar:238.02891, electron:92
Neptunium = position:150, number:93, small:Np, molar:237, electron:93
Plutonium = position:151, number:94, small:Pu, molar:244, electron:94
Americium = position:152, number:95, small:Am, molar:243, electron:95
Curium = position:153, number:96, small:Cm, molar:247, electron:96
Berkelium = position:154, number:97, small:Bk, molar:247, electron:97
Californium = position:155, number:98, small:Cf, molar:251, electron:98
Einsteinium = position:156, number:99, small:Es, molar:252, electron:99
Fermium = position:157, number:100, small:Fm, molar:257, electron:100
Mendelevium = position:158, number:101, small:Md, molar:258, electron:101
Nobelium = position:159, number:102, small:No, molar:259, electron:102
