category,item,status,path,detail
tarball,gzip-1.13,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,build_system_manifest
tarball,make-4.4.1,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,build_system_manifest
tarball,patch-2.7.6,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,build_system_manifest
tarball,tar-1.35,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,build_system_manifest
tarball,texinfo-7.1,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,build_system_manifest
tarball,util-linux-2.40.2,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,build_system_manifest
tarball,zlib-1.3.1,ok,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,mini_system_manifest
tarball,bzip2-1.0.8,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,mini_system_manifest
tarball,xz-5.6.2,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,mini_system_manifest
tarball,zstd-1.5.6,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,mini_system_manifest
tarball,file-5.45,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,mini_system_manifest
tarball,readline-8.2,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,mini_system_manifest
tarball,m4-1.4.19,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,mini_system_manifest
tarball,bc-7.0.2,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,mini_system_manifest
tarball,flex-2.6.4,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,mini_system_manifest
tarball,ncurses-6.5,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,mini_system_manifest
tarball,gawk-5.3.0,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,mini_system_manifest
tarball,sed-4.9,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,mini_system_manifest
tarball,vim-9.1,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,mini_system_manifest
tarball,less-643,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,mini_system_manifest
tarball,iproute2-6.10.0,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,mini_system_manifest
tarball,e2fsprogs-1.47.1,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,mini_system_manifest
tarball,kmod-32,missing,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,mini_system_manifest
tarball,sysvinit-3.10,ok,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,mini_system_manifest
tarball,eudev-3.2.14,ok,/home/roro/work/projects/All-42-subject/full_auto_codex_v2/C/ft_linux/sources,mini_system_manifest
